error,favorite_count,id,media_type,media_url,retweet_count
,2806.0,700167517596164096,photo,https://pbs.twimg.com/media/Cbd-o8hWwAE4OFm.jpg,809.0
,2377.0,700151421916807169,photo,https://pbs.twimg.com/media/CbdwATgWwAABGID.jpg,714.0
,7992.0,700143752053182464,photo,https://pbs.twimg.com/media/CbdpBmLUYAY9SgQ.jpg,2983.0
,2799.0,700062718104104960,photo,https://pbs.twimg.com/media/CbcfUxoUAAAlHGK.jpg,751.0
,2191.0,700029284593901568,photo,https://pbs.twimg.com/media/CbcA673XIAAsytQ.jpg,630.0
,3512.0,700002074055016451,photo,https://pbs.twimg.com/media/CbboKP4WIAAw8xq.jpg,1456.0
,3236.0,699801817392291840,photo,https://pbs.twimg.com/media/CbYyCMbWEAAg7hR.jpg,1041.0
,2380.0,699788877217865730,photo,https://pbs.twimg.com/media/CbYmRHyWEAASNzm.jpg,536.0
,2937.0,699779630832685056,photo,https://pbs.twimg.com/media/CbYd3C9WEAErJ4Z.jpg,1338.0
,2078.0,699775878809702401,photo,https://pbs.twimg.com/media/CbYac83W4AAUH1O.jpg,658.0
,10887.0,699691744225525762,photo,https://pbs.twimg.com/media/CbXN7aPWIAE0Xt1.jpg,4966.0
,6288.0,699446877801091073,photo,https://pbs.twimg.com/media/CbTvNkbWwAAtdcV.jpg,2827.0
,2300.0,699434518667751424,photo,https://pbs.twimg.com/media/CbTj--1XEAIZjc_.jpg,549.0
,1454.0,699423671849451520,photo,https://pbs.twimg.com/media/CbTaHrRW0AABXmG.jpg,359.0
,2188.0,699413908797464576,photo,https://pbs.twimg.com/media/CbTRPXdW8AQMZf7.jpg,669.0
,1989.0,699370870310113280,photo,https://pbs.twimg.com/media/CbSqE0rVIAEOPE4.jpg,474.0
,3345.0,699323444782047232,photo,https://pbs.twimg.com/media/CbR-9edXIAEHJKi.jpg,934.0
,2369.0,699088579889332224,photo,https://pbs.twimg.com/media/CbOpWswWEAE9kvX.jpg,679.0
,2591.0,699079609774645248,photo,https://pbs.twimg.com/media/CbOhMTpWcAEeFYA.jpg,710.0
,3180.0,699072405256409088,photo,https://pbs.twimg.com/ext_tw_video_thumb/699072391083880449/pu/img/fMp1-dvLMeio1Kzk.jpg,1283.0
,4007.0,699060279947165696,,,1960.0
,2769.0,699036661657767936,photo,https://pbs.twimg.com/media/CbN6IW4UYAAyVDA.jpg,1292.0
,3589.0,698989035503689728,photo,https://pbs.twimg.com/media/CbNO0DaW0AARcki.jpg,1062.0
,2869.0,698953797952008193,photo,https://pbs.twimg.com/media/CbMuxV5WEAAIBjy.jpg,977.0
,2690.0,698907974262222848,photo,https://pbs.twimg.com/media/CbMFFsnXEAA1mkH.jpg,670.0
,2623.0,698710712454139905,photo,https://pbs.twimg.com/media/CbJRrigW0AIcJ2N.jpg,742.0
,1539.0,698703483621523456,photo,https://pbs.twimg.com/media/CbJLG0HWwAAV-ug.jpg,409.0
,1364.0,698635131305795584,photo,https://pbs.twimg.com/ext_tw_video_thumb/698635005506015234/pu/img/wQ4yFXTZ-2QLt68b.jpg,369.0
,2454.0,698549713696649216,photo,https://pbs.twimg.com/media/CbG_QRJXEAALVWy.jpg,663.0
,1982.0,698355670425473025,photo,https://pbs.twimg.com/media/CbEOxQXW0AEIYBu.jpg,486.0
,2401.0,698342080612007937,photo,https://pbs.twimg.com/ext_tw_video_thumb/698341973569245184/pu/img/Sj3A2vSfbKWSv61T.jpg,1025.0
,5035.0,698262614669991936,photo,https://pbs.twimg.com/media/CbC6JL_WEAI_PhH.jpg,2169.0
,17769.0,698195409219559425,photo,https://pbs.twimg.com/media/CbB9BTqW8AEVc2A.jpg,6455.0
,2966.0,698178924120031232,photo,https://pbs.twimg.com/media/CbBuBhbWwAEGH29.jpg,798.0
,1617.0,697995514407682048,photo,https://pbs.twimg.com/media/Ca_HN8UWEAEB-ga.jpg,360.0
,3487.0,697990423684476929,photo,https://pbs.twimg.com/media/Ca_ClW1WAAAWc-F.jpg,1398.0
,2550.0,697943111201378304,photo,https://pbs.twimg.com/media/Ca-XjfiUsAAUa8f.jpg,748.0
,3200.0,697881462549430272,photo,https://pbs.twimg.com/media/Ca9feqDUAAA_z7T.jpg,1283.0
,1854.0,697630435728322560,,,581.0
,3350.0,697616773278015490,photo,https://pbs.twimg.com/media/Ca5uv7RVAAA_QEg.jpg,1093.0
,3217.0,697596423848730625,photo,https://pbs.twimg.com/media/Ca5cPrJXIAImHtD.jpg,1362.0
,2160.0,697575480820686848,photo,https://pbs.twimg.com/media/Ca5JMvMUsAAGMll.jpg,546.0
,2192.0,697516214579523584,,,1223.0
,2570.0,697482927769255936,photo,https://pbs.twimg.com/media/Ca31BTgWwAA4uNU.jpg,732.0
,3613.0,697463031882764288,photo,https://pbs.twimg.com/media/Ca3i7CzXIAMLhg8.jpg,1486.0
,4947.0,697270446429966336,photo,https://pbs.twimg.com/media/Ca0zxGjW8AEfyYl.jpg,2013.0
,3482.0,697259378236399616,photo,https://pbs.twimg.com/media/Ca0ps3AXEAAnp9m.jpg,1076.0
,3198.0,697255105972801536,photo,https://pbs.twimg.com/media/Ca0lzzmWwAA5u56.jpg,1256.0
,2664.0,697242256848379904,photo,https://pbs.twimg.com/media/Ca0aIR9WcAAHiPy.jpg,720.0
,3386.0,696900204696625153,photo,https://pbs.twimg.com/media/CavjCdJW0AIB5Oz.jpg,1108.0
